category,Niederschlag (6 bis 6 UTC)
Fr 01.05.,1.8
Sa 02.05.,0
So 03.05.,7.8
Mo 04.05.,0.7
Di 05.05.,3.5
Mi 06.05.,0.2
Do 07.05.,0
Fr 08.05.,7.9
Sa 09.05.,0.4
So 10.05.,0.2
Mo 11.05.,8.5
Di 12.05.,2.4
Mi 13.05.,6.8
Do 14.05.,2.4
Fr 15.05.,3.6
Sa 16.05.,3.1
So 17.05.,0.1
Mo 18.05.,2
Di 19.05.,0
Mi 20.05.,0
Do 21.05.,17.2
Fr 22.05.,1.4
Sa 23.05.,0
So 24.05.,0
Mo 25.05.,0
Di 26.05.,30.9
Mi 27.05.,0
Do 28.05.,2.1
Fr 29.05.,0
Sa 30.05.,3
So 31.05.,0
Mo 01.06.,0
Di 02.06.,2.1
Mi 03.06.,0
Do 04.06.,0
Fr 05.06.,0.2
Sa 06.06.,10.5
So 07.06.,12
Mo 08.06.,0
Di 09.06.,0.2
Mi 10.06.,2.2
Do 11.06.,0.6
Fr 12.06.,0
Sa 13.06.,0
So 14.06.,1.5
Mo 15.06.,9.1
Di 16.06.,1.3
Mi 17.06.,0
Do 18.06.,7
Fr 19.06.,13.4
Sa 20.06.,4.3
So 21.06.,6.7
Mo 22.06.,23.8
Di 23.06.,37
Mi 24.06.,5.1
Do 25.06.,3.3
Fr 26.06.,6.9
Sa 27.06.,6.9
So 28.06.,2.7
Mo 29.06.,0
Di 30.06.,9.7
Mi 01.07.,0
Do 02.07.,0.6
Fr 03.07.,0.4
Sa 04.07.,12
So 05.07.,2.1
Mo 06.07.,10.9
Di 07.07.,6.9
Mi 08.07.,1.4
Do 09.07.,2.9
Fr 10.07.,0
Sa 11.07.,0
So 12.07.,0.6
Mo 13.07.,0
Di 14.07.,2.1
Mi 15.07.,0.1
Do 16.07.,0.1
Fr 17.07.,16.5
Sa 18.07.,21.8
So 19.07.,0
Mo 20.07.,0
Di 21.07.,0
Mi 22.07.,0
Do 23.07.,6.5
Fr 24.07.,16.6
Sa 25.07.,0.3
So 26.07.,0
Mo 27.07.,5.4
Di 28.07.,0.2
Mi 29.07.,0
Do 30.07.,0
Fr 31.07.,0
Sa 01.08.,0
So 02.08.,3.9
Mo 03.08.,2.7
Di 04.08.,0
Mi 05.08.,0
Do 06.08.,0
Fr 07.08.,0
Sa 08.08.,0
So 09.08.,0
Mo 10.08.,10.6
Di 11.08.,0.7
Mi 12.08.,1.5
Do 13.08.,8.7
Fr 14.08.,0
Sa 15.08.,0
So 16.08.,0
Mo 17.08.,1
Di 18.08.,0
Mi 19.08.,0
Do 20.08.,0
Fr 21.08.,2.9
Sa 22.08.,7.5
So 23.08.,0
Mo 24.08.,0
Di 25.08.,7.5
Mi 26.08.,0
Do 27.08.,0
Fr 28.08.,0
Sa 29.08.,0.1
So 30.08.,0
Mo 31.08.,0
