category,Niederschlag (6 bis 6 UTC)
Mi 01.04.,0
Do 02.04.,0
Fr 03.04.,0
Sa 04.04.,0
So 05.04.,0
Mo 06.04.,0
Di 07.04.,0
Mi 08.04.,0
Do 09.04.,0
Fr 10.04.,0
Sa 11.04.,0
So 12.04.,0
Mo 13.04.,0.4
Di 14.04.,0
Mi 15.04.,0
Do 16.04.,0
Fr 17.04.,0
Sa 18.04.,2.6
So 19.04.,0
Mo 20.04.,0
Di 21.04.,0
Mi 22.04.,0
Do 23.04.,0
Fr 24.04.,0
Sa 25.04.,0
So 26.04.,3.5
Mo 27.04.,0.6
Di 28.04.,10.7
Mi 29.04.,2.8
Do 30.04.,6.4
Fr 01.05.,4.8
Sa 02.05.,1.9
So 03.05.,0
Mo 04.05.,1.8
Di 05.05.,0
Mi 06.05.,0
Do 07.05.,0
Fr 08.05.,0
Sa 09.05.,0
So 10.05.,2.2
Mo 11.05.,6.6
Di 12.05.,0.3
Mi 13.05.,6.4
Do 14.05.,3.2
Fr 15.05.,0.4
Sa 16.05.,0
So 17.05.,0
Mo 18.05.,0
Di 19.05.,0
Mi 20.05.,0
Do 21.05.,0
Fr 22.05.,0
Sa 23.05.,4.8
So 24.05.,0.4
Mo 25.05.,1.2
Di 26.05.,0
Mi 27.05.,0
Do 28.05.,1.9
Fr 29.05.,0
Sa 30.05.,0
So 31.05.,0
Mo 01.06.,0
Di 02.06.,0
Mi 03.06.,0
Do 04.06.,3
Fr 05.06.,2.2
Sa 06.06.,11.4
So 07.06.,8.2
Mo 08.06.,10.3
Di 09.06.,0.2
Mi 10.06.,2.6
Do 11.06.,0.2
Fr 12.06.,0
Sa 13.06.,15.2
So 14.06.,25.3
Mo 15.06.,17.7
Di 16.06.,0
Mi 17.06.,3.9
Do 18.06.,0
Fr 19.06.,9.5
Sa 20.06.,4.2
So 21.06.,0
Mo 22.06.,0
Di 23.06.,0
Mi 24.06.,0
Do 25.06.,0.2
Fr 26.06.,22.8
Sa 27.06.,0
So 28.06.,13.8
Mo 29.06.,4.1
Di 30.06.,0
