category,Niederschlag (6 bis 6 UTC)
Fr 01.01.,0.2
Sa 02.01.,8.8
So 03.01.,3
Mo 04.01.,1.1
Di 05.01.,0.6
Mi 06.01.,4.2
Do 07.01.,2.6
Fr 08.01.,6.2
Sa 09.01.,3.7
So 10.01.,6.3
Mo 11.01.,0.7
Di 12.01.,5
Mi 13.01.,0.3
Do 14.01.,0.5
Fr 15.01.,5.9
Sa 16.01.,2.6
So 17.01.,3.1
Mo 18.01.,0
Di 19.01.,0
Mi 20.01.,0.2
Do 21.01.,0
Fr 22.01.,1.3
Sa 23.01.,1.1
So 24.01.,0.5
Mo 25.01.,0
Di 26.01.,0
Mi 27.01.,0
Do 28.01.,5.2
Fr 29.01.,0.1
Sa 30.01.,13.2
So 31.01.,22.2
Mo 01.02.,0
Di 02.02.,0.8
Mi 03.02.,9.5
Do 04.02.,5.2
Fr 05.02.,0.9
Sa 06.02.,0
So 07.02.,0.4
Mo 08.02.,1.6
Di 09.02.,0.7
Mi 10.02.,0.6
Do 11.02.,0
Fr 12.02.,1.3
Sa 13.02.,1.4
So 14.02.,2.3
Mo 15.02.,0
Di 16.02.,0.1
Mi 17.02.,0.9
Do 18.02.,0
Fr 19.02.,0
Sa 20.02.,12.6
So 21.02.,0
Mo 22.02.,0
Di 23.02.,4.6
Mi 24.02.,5.1
Do 25.02.,3.9
Fr 26.02.,0
Sa 27.02.,0
So 28.02.,0
Mo 29.02.,25.4
Di 01.03.,4
Mi 02.03.,7.9
Do 03.03.,0.3
Fr 04.03.,0
Sa 05.03.,6.2
So 06.03.,0
Mo 07.03.,0
Di 08.03.,0.2
Mi 09.03.,0
Do 10.03.,0
Fr 11.03.,0
Sa 12.03.,0
So 13.03.,0
Mo 14.03.,0
Di 15.03.,5
Mi 16.03.,0
Do 17.03.,0
Fr 18.03.,0
Sa 19.03.,0
So 20.03.,0
Mo 21.03.,0
Di 22.03.,0
Mi 23.03.,0
Do 24.03.,0
Fr 25.03.,13.4
Sa 26.03.,0
So 27.03.,3.5
Mo 28.03.,1.6
Di 29.03.,2.1
Mi 30.03.,0.2
Do 31.03.,0
Fr 01.04.,0
Sa 02.04.,0
So 03.04.,0
Mo 04.04.,0
Di 05.04.,0.1
Mi 06.04.,1
Do 07.04.,2.6
Fr 08.04.,0.8
Sa 09.04.,1
So 10.04.,0
Mo 11.04.,0.8
Di 12.04.,4.8
Mi 13.04.,8.5
Do 14.04.,1
Fr 15.04.,0.8
Sa 16.04.,0.1
So 17.04.,21.2
Mo 18.04.,0.4
Di 19.04.,0
Mi 20.04.,0
Do 21.04.,0
Fr 22.04.,0
Sa 23.04.,12.8
So 24.04.,0.7
Mo 25.04.,1.4
Di 26.04.,8.2
Mi 27.04.,0.2
Do 28.04.,0
Fr 29.04.,0
Sa 30.04.,0
