category,Niederschlag (6 bis 6 UTC)
Mo 01.05.,18
Di 02.05.,0
Mi 03.05.,0
Do 04.05.,6.4
Fr 05.05.,0.1
Sa 06.05.,3.4
So 07.05.,10.4
Mo 08.05.,29.8
Di 09.05.,0.9
Mi 10.05.,0
Do 11.05.,0.4
Fr 12.05.,2.2
Sa 13.05.,8
So 14.05.,5.6
Mo 15.05.,0.9
Di 16.05.,0
Mi 17.05.,0
Do 18.05.,0
Fr 19.05.,8
Sa 20.05.,0
So 21.05.,0
Mo 22.05.,0
Di 23.05.,0
Mi 24.05.,0.4
Do 25.05.,0
Fr 26.05.,0
Sa 27.05.,0
So 28.05.,0
Mo 29.05.,0
Di 30.05.,1.1
Mi 31.05.,0
Do 01.06.,0
Fr 02.06.,1.8
Sa 03.06.,0.2
So 04.06.,0.4
Mo 05.06.,10.3
Di 06.06.,10.4
Mi 07.06.,0.2
Do 08.06.,0
Fr 09.06.,5
Sa 10.06.,0
So 11.06.,0
Mo 12.06.,3.5
Di 13.06.,0
Mi 14.06.,0
Do 15.06.,0
Fr 16.06.,0
Sa 17.06.,0
So 18.06.,0
Mo 19.06.,0
Di 20.06.,0.3
Mi 21.06.,11.4
Do 22.06.,0
Fr 23.06.,0
Sa 24.06.,0
So 25.06.,5.8
Mo 26.06.,4.8
Di 27.06.,0.8
Mi 28.06.,7.7
Do 29.06.,2.4
Fr 30.06.,0
Sa 01.07.,2.1
So 02.07.,10.1
Mo 03.07.,0
Di 04.07.,0
Mi 05.07.,0
Do 06.07.,0
Fr 07.07.,3
Sa 08.07.,2.6
So 09.07.,2.6
Mo 10.07.,0.7
Di 11.07.,0.7
Mi 12.07.,3
Do 13.07.,0
Fr 14.07.,15.3
Sa 15.07.,0
So 16.07.,0
Mo 17.07.,0
Di 18.07.,0.8
Mi 19.07.,0
Do 20.07.,4.5
Fr 21.07.,0
Sa 22.07.,9.1
So 23.07.,6.5
Mo 24.07.,9.6
Di 25.07.,20.9
Mi 26.07.,30.4
Do 27.07.,10.9
Fr 28.07.,0.1
Sa 29.07.,0
So 30.07.,4.9
Mo 31.07.,0
Di 01.08.,9.6
Mi 02.08.,0
Do 03.08.,0
Fr 04.08.,0
Sa 05.08.,7.9
So 06.08.,5.6
Mo 07.08.,0
Di 08.08.,19.1
Mi 09.08.,0
Do 10.08.,18.4
Fr 11.08.,3.4
Sa 12.08.,0.5
So 13.08.,0
Mo 14.08.,0
Di 15.08.,30.8
Mi 16.08.,0
Do 17.08.,0
Fr 18.08.,24.2
Sa 19.08.,6
So 20.08.,0.7
Mo 21.08.,0
Di 22.08.,0
Mi 23.08.,0
Do 24.08.,1.6
Fr 25.08.,0
Sa 26.08.,0
So 27.08.,0.4
Mo 28.08.,0.1
Di 29.08.,0
Mi 30.08.,0
Do 31.08.,19.5
